State,Delta,Theta,Alpha,Beta,Gamma
Baseline,8040.90,13531.69,8882.97,23119.91,264005.47
Baseline,11633.61,10277.93,5371.47,20689.72,258180.37
Baseline,9660.48,5633.49,7889.68,21486.74,268251.35
Baseline,17488.76,14913.67,4908.39,16378.60,263816.91
Baseline,8819.72,9227.97,7769.07,25985.77,274011.94
Baseline,7800.33,4398.56,12842.75,22195.40,269399.80
Baseline,7908.23,14833.11,9469.66,21131.95,270320.96
Baseline,5240.63,8267.12,4342.79,30005.38,260456.37
Baseline,14842.96,7581.17,10737.27,25874.68,254183.94
Baseline,4136.34,7514.38,9178.87,12708.00,245705.36
Baseline,6312.73,5498.27,7114.97,14011.63,253681.05
Baseline,3237.95,5438.55,9878.13,14346.76,262876.26
Baseline,10044.10,12666.86,24626.36,40911.23,256318.49
Baseline,101227.03,57628.48,55679.52,51836.09,341076.21
Baseline,10540.79,6896.65,6616.39,21758.82,254064.41
Baseline,13854.51,30128.32,20179.28,34189.00,274894.65
Baseline,4486.21,15303.54,13068.11,20134.19,266617.89
Baseline,9261.22,9001.82,13703.21,24361.85,263959.70
Baseline,3521.50,8605.46,8798.92,11894.00,250567.66
Baseline,1646.53,10058.54,6450.36,8723.02,252360.33
Baseline,5902.49,16603.01,6666.28,19899.45,272642.64
Baseline,5632.07,9504.59,10355.98,25775.01,277096.69
Baseline,5105.90,7097.15,5924.22,10631.36,249500.50
Baseline,5796.37,9088.36,3512.33,9773.54,260305.56
Baseline,23202.98,17327.45,14005.66,36798.26,297779.14
Baseline,95520.13,41191.03,37550.56,54983.02,355295.25
Baseline,1642.15,5891.30,3999.56,15657.67,167914.62
Baseline,6935.54,5266.18,5582.91,11135.02,219910.07
Baseline,2390.95,5635.65,7367.22,14703.73,243474.72
Baseline,3399.50,9659.94,7960.14,10783.78,239911.20
Baseline,9267.26,2776.23,3169.28,9343.11,216055.73
Baseline,2007.26,4951.41,4192.81,13168.49,246299.44
Baseline,6049.51,6370.13,5129.45,13058.74,250234.97
